product_name,category_id,category_name,supermarket_name,price_in_pounds,unit,available,brand,product_id,supermarket_id,image_url,description,dietary_restrictions,nutritional_information,no_of_ingredients,country_of_origin,is_seasonal,promotions,stock_level,delivery_options,delivery_lead_time,minimum_order_quantity,is_click_and_collect_available,Rating,number_of_reviews,is_popular,is_new,customer_tags,best_before_date,disposal_instructions,awards_won,allergens,is_organic,is_vegan,standard_delivery,fast_delivery,order_date,customer_id,customer_name,customer_email,customer_number,customer_address,order_id
Pasta,105,Cereal & Bread,Morrisons,9.65,L,Yes,Supermarket Own Brand,M10000,4,https://example.com/products/M10000.jpg,Pasta from local farms,,"{'calories': 434, 'fat': 1.6545525114670623, 'protein': 14.407659815352256, 'carbohydrates': 24.20258901687363}",4,China,FALSE,,94,"click & collect,home delivery",4,3,TRUE,4.2,261,FALSE,TRUE,family-friendly,04-04-2024,Please recycle the packaging.,,nuts,TRUE,FALSE,3,1,02-02-2024,2089,jqKEyuqZxz,jqkeyuqzxz_796@example.com,6197959314,"111 kduUJJhJmB Ave. Apt #8, City 49763",O11
Bread,105,Cereal & Bread,Sainsbury's,7.61,kg,Yes,Brand B,S10001,2,https://example.com/products/S10001.jpg,Bread from Ecuador,gluten-free,"{'calories': 407, 'fat': 25.094463989569114, 'protein': 8.787720264592643, 'carbohydrates': 68.45481143343466}",1,Italy,FALSE,20% off,72,home delivery,3,1,TRUE,4.7,813,FALSE,FALSE,fresh,08-04-2024,Please recycle the packaging.,Great Taste Award,soy,FALSE,FALSE,3,1,17-02-2024,568,RwhTAmxqAnfQG,rwhtamxqanfqg_9514@example.com,5130902720,"369 JcnVuC Ave. Apt #56, Town 61995",O12
Rice,105,Cereal & Bread,M&S,7.72,ml,Yes,Supermarket Own Brand,M10002,8,https://example.com/products/M10002.jpg,Rice from local farms,nut-free,"{'calories': 431, 'fat': 25.623573244335134, 'protein': 0.3421405698336777, 'carbohydrates': 39.43073329432024}",1,Spain,TRUE,2 for £6,55,"click & collect,home delivery",3,1,TRUE,4.8,827,FALSE,FALSE,healthy,12-04-2024,Please recycle the packaging.,Best Product of the Year,nuts,FALSE,TRUE,3,1,03-02-2024,7389,tFtFGKFPNsbMLl,tftfgkfpnsbmll_2691@example.com,8271682161,"866 PGntqjWjc St. Apt #35, Town 39302",O13
Yogurt,102,Dairy & Eggs,Lidl,13.6,L,No,Brand A,L10003,7,https://example.com/products/L10003.jpg,Yogurt from California,gluten-free,"{'calories': 122, 'fat': 28.277527061725507, 'protein': 1.3125897766247197, 'carbohydrates': 25.538387493414604}",3,France,TRUE,20% off,0,"click & collect,home delivery",1,2,TRUE,4.3,666,FALSE,TRUE,organic,29-03-2024,Please recycle the packaging.,,gluten,FALSE,FALSE,3,1,06-02-2024,9434,RDoEMtsuBTijdM,rdoemtsubtijdm_1413@example.com,8141528064,"987 KjOFi Ave. Apt #60, Town 99838",O14
Biscuits,106,Snacks & Sweets,Asda,1.56,ml,Yes,Supermarket Own Brand,A10004,3,https://example.com/products/A10004.jpg,Biscuits from Italy,vegan,"{'calories': 493, 'fat': 28.52446311122115, 'protein': 15.767567627623322, 'carbohydrates': 75.69514576781856}",2,Netherlands,FALSE,,95,click & collect,4,2,FALSE,3.8,749,TRUE,TRUE,fresh,14-04-2024,Please recycle the packaging.,Great Taste Award,soy,TRUE,TRUE,3,1,21-02-2024,8203,BeQXihwXQUlpVLA,beqxihwxqulpvla_575@example.com,7838890113,"261 jHetVzhcy Ave. Apt #40, Town 64015",O15
Yogurt,102,Dairy & Eggs,M&S,11.91,kg,No,Supermarket Own Brand,M10005,8,https://example.com/products/M10005.jpg,Yogurt from California,vegan,"{'calories': 452, 'fat': 28.419032548214773, 'protein': 3.4113877386802693, 'carbohydrates': 22.461078284841285}",1,China,TRUE,2 for £6,0,home delivery,1,5,TRUE,4.8,351,FALSE,TRUE,organic,08-04-2024,Please recycle the packaging.,,soy,FALSE,TRUE,3,1,10-02-2024,2126,CTceEivvGO,ctceeivvgo_835@example.com,7982978635,"172 hpOTHfkn Blvd. Apt #11, Town 72492",O16
Tea,107,Drinks,Sainsbury's,5.56,kg,Yes,Brand C,S10006,2,https://example.com/products/S10006.jpg,Tea from Italy,nut-free,"{'calories': 62, 'fat': 28.87709452286395, 'protein': 8.492928940698018, 'carbohydrates': 74.1480996875368}",5,France,TRUE,Buy one get one free,55,"click & collect,home delivery",5,5,TRUE,4.7,743,FALSE,FALSE,healthy,11-04-2024,Please recycle the packaging.,,soy,TRUE,TRUE,3,1,25-02-2024,7860,QIfVHdFOxEViBDiZ,qifvhdfoxevibdiz_8151@example.com,1575313216,"506 vDXSWDUOfC St. Apt #27, Town 57639",O17
Chicken Breast,103,Meat & Fish,Asda,12.04,ml,No,Brand B,A10007,3,https://example.com/products/A10007.jpg,Chicken Breast from Spain,,"{'calories': 66, 'fat': 21.68645851978637, 'protein': 16.445037581160584, 'carbohydrates': 24.04069817424668}",5,France,FALSE,,0,home delivery,3,4,FALSE,3.8,840,TRUE,TRUE,seasonal,30-03-2024,Please recycle the packaging.,,nuts,TRUE,TRUE,3,1,06-02-2024,1814,EVJVUpicujGcf,evjvupicujgcf_8796@example.com,4626151258,"793 mqWhKvZa Ave. Apt #40, Town 87634",O18
Tomatoes,101,Fruits & Vegetables,Lidl,12.47,kg,Yes,Brand C,L10008,7,https://example.com/products/L10008.jpg,Tomatoes from California,vegan,"{'calories': 91, 'fat': 3.804117056411461, 'protein': 9.866521907933734, 'carbohydrates': 97.50209740894576}",2,UK,FALSE,,38,home delivery,4,2,TRUE,4.3,39,FALSE,TRUE,affordable,01-04-2024,Please recycle the packaging.,,soy,FALSE,FALSE,3,1,16-02-2024,566,PYuTYduxdYcMAFBoEAy,pyutyduxdycmafboeay_7543@example.com,261368654,"100 NfdBbUrM St. Apt #91, City 50395",O19
Tomatoes,101,Fruits & Vegetables,Asda,11.44,ml,No,Brand A,A10009,3,https://example.com/products/A10009.jpg,Tomatoes from Spain,vegan,"{'calories': 446, 'fat': 22.479114690121396, 'protein': 1.9418699199112188, 'carbohydrates': 93.80960203853923}",4,Netherlands,FALSE,20% off,0,"click & collect,home delivery",4,2,FALSE,3.8,868,FALSE,FALSE,seasonal,26-03-2024,Please recycle the packaging.,Best Product of the Year,gluten,TRUE,FALSE,3,1,21-02-2024,621,FBtQnuUWPWkcgwFLHFof,fbtqnuuwpwkcgwflhfof_4580@example.com,7512850551,"974 WDsTHcFmTz Blvd. Apt #5, Town 97581",O20
Cola,107,Drinks,Waitrose,10.51,L,Yes,Brand A,W10010,5,https://example.com/products/W10010.jpg,Cola from Italy,nut-free,"{'calories': 119, 'fat': 10.50712191410447, 'protein': 19.7372352451476, 'carbohydrates': 57.38875119766447}",3,USA,FALSE,Buy one get one free,10,click & collect,1,4,FALSE,3.9,425,FALSE,FALSE,family-friendly,12-04-2024,Please recycle the packaging.,Great Taste Award,soy,FALSE,FALSE,3,1,08-02-2024,3788,gGCGipzySsFgn,ggcgipzyssfgn_7961@example.com,5244107081,"568 gOdFOPRvR Blvd. Apt #87, City 25268",O21
Water,107,Drinks,Tesco,10.82,ml,No,Brand B,T10011,1,https://example.com/products/T10011.jpg,Water from Spain,lactose-free,"{'calories': 385, 'fat': 9.321600580527926, 'protein': 5.301565976985452, 'carbohydrates': 37.2051875996938}",2,Spain,FALSE,,0,click & collect,2,5,TRUE,4.5,391,FALSE,TRUE,affordable,26-03-2024,Please recycle the packaging.,Best Product of the Year,gluten,FALSE,FALSE,3,1,12-02-2024,9260,gbYeBsmPSWWZijhdv,gbyebsmpswwzijhdv_5724@example.com,1990429924,"887 BVKGMCKKU Blvd. Apt #5, City 75214",O22
Bread,105,Cereal & Bread,Morrisons,3.72,kg,No,Brand C,M10012,4,https://example.com/products/M10012.jpg,Bread from local farms,lactose-free,"{'calories': 120, 'fat': 5.073695405409424, 'protein': 9.82149630550053, 'carbohydrates': 50.281981444627064}",3,France,TRUE,,0,click & collect,2,4,TRUE,4.2,410,FALSE,FALSE,healthy,06-04-2024,Please recycle the packaging.,,soy,TRUE,FALSE,3,1,13-02-2024,7760,umLqUnfAxkSke,umlqunfaxkske_7067@example.com,7649546007,"728 CsZYgkbbDf Blvd. Apt #13, City 30229",O23
Coffee,107,Drinks,Asda,8.6,g,No,Brand A,A10013,3,https://example.com/products/A10013.jpg,Coffee from local farms,,"{'calories': 287, 'fat': 12.737841028312202, 'protein': 5.452381140979581, 'carbohydrates': 36.31688599613826}",3,Netherlands,TRUE,,0,click & collect,3,2,FALSE,3.8,407,TRUE,TRUE,affordable,23-03-2024,Please recycle the packaging.,,gluten,TRUE,TRUE,3,1,22-02-2024,4180,ZhBnzrImdNDaEkFETSE,zhbnzrimdndaekfetse_1385@example.com,2169986469,"665 xscUt Ave. Apt #82, Town 82324",O24
Juice,107,Drinks,Lidl,14.41,ml,No,Brand C,L10014,7,https://example.com/products/L10014.jpg,Juice from local farms,nut-free,"{'calories': 134, 'fat': 27.27465701250143, 'protein': 17.009694115856497, 'carbohydrates': 28.414879074022526}",4,France,FALSE,Buy one get one free,0,click & collect,5,2,TRUE,4.3,544,TRUE,TRUE,affordable,28-03-2024,Please recycle the packaging.,Great Taste Award,soy,FALSE,TRUE,3,1,28-02-2024,2160,bTiIrmZGeHyuYC,btiirmzgehyuyc_8400@example.com,3538904466,"205 itKDQB St. Apt #14, City 86460",O25
Apple,101,Fruits & Vegetables,Waitrose,8.8,L,Yes,Brand B,W10015,5,https://example.com/products/W10015.jpg,Apple from local farms,,"{'calories': 305, 'fat': 12.58430440652922, 'protein': 19.44049420790675, 'carbohydrates': 26.591897781210385}",3,UK,TRUE,,88,home delivery,4,1,FALSE,3.9,583,FALSE,FALSE,organic,21-03-2024,Please recycle the packaging.,,gluten,FALSE,TRUE,3,1,16-02-2024,4691,ZKWaewrJUxQMYdrdJPm,zkwaewrjuxqmydrdjpm_1701@example.com,6765333587,"673 DHURObvRo Blvd. Apt #18, Town 53338",O26
Chicken Breast,103,Meat & Fish,Waitrose,6.25,ml,Yes,Brand B,W10016,5,https://example.com/products/W10016.jpg,Chicken Breast from Spain,vegan,"{'calories': 486, 'fat': 6.588812365676505, 'protein': 18.733022118282207, 'carbohydrates': 72.67059708568452}",4,USA,FALSE,,70,"click & collect,home delivery",1,2,FALSE,3.9,67,FALSE,FALSE,family-friendly,10-04-2024,Please recycle the packaging.,,gluten,FALSE,FALSE,3,1,01-02-2024,2078,IoYrZZYcfA,ioyrzzycfa_1287@example.com,7238075990,"184 YbgOH Blvd. Apt #37, City 69828",O27
Biscuits,106,Snacks & Sweets,Waitrose,9.78,L,No,Brand C,W10017,5,https://example.com/products/W10017.jpg,Biscuits from Spain,nut-free,"{'calories': 431, 'fat': 11.182743441314408, 'protein': 19.983092534963937, 'carbohydrates': 22.47162464069158}",4,Spain,FALSE,,0,"click & collect,home delivery",4,5,FALSE,3.9,933,TRUE,TRUE,seasonal,13-04-2024,Please recycle the packaging.,Best Product of the Year,dairy,FALSE,FALSE,3,1,11-02-2024,3554,BrIvtCoOnl,brivtcoonl_7629@example.com,1203889428,"461 CHrrtGQ Ave. Apt #93, City 15151",O28
Cucumber,101,Fruits & Vegetables,Asda,14.21,ml,Yes,Supermarket Own Brand,A10018,3,https://example.com/products/A10018.jpg,Cucumber from local farms,vegan,"{'calories': 345, 'fat': 19.50311866087552, 'protein': 13.29900910925974, 'carbohydrates': 99.66037398753502}",2,Netherlands,FALSE,20% off,17,home delivery,5,5,FALSE,3.8,101,TRUE,TRUE,healthy,25-03-2024,Please recycle the packaging.,,dairy,FALSE,TRUE,3,1,29-02-2024,9565,hFLFyTSgbzYAyA,hflfytsgbzyaya_4220@example.com,6919961874,"476 jUJCGnWCux St. Apt #28, City 19451",O29
Bread,105,Cereal & Bread,M&S,14.42,g,Yes,Supermarket Own Brand,M10019,8,https://example.com/products/M10019.jpg,Bread from Ecuador,,"{'calories': 107, 'fat': 8.525359383583293, 'protein': 1.1188861990761811, 'carbohydrates': 98.09045430574712}",3,Germany,FALSE,,24,"click & collect,home delivery",1,5,TRUE,4.8,817,TRUE,TRUE,healthy,28-03-2024,Please recycle the packaging.,Great Taste Award,dairy,TRUE,FALSE,3,1,23-02-2024,8825,AQqFKcBdajGzom,aqqfkcbdajgzom_7106@example.com,478368674,"797 hyVBK Blvd. Apt #86, Town 20126",O30
Juice,107,Drinks,Morrisons,14.72,kg,No,Supermarket Own Brand,M10020,4,https://example.com/products/M10020.jpg,Juice from Spain,,"{'calories': 188, 'fat': 17.442598402535168, 'protein': 7.274222877293967, 'carbohydrates': 13.059426153420784}",4,Germany,FALSE,20% off,0,"click & collect,home delivery",2,1,TRUE,4.2,669,FALSE,FALSE,affordable,23-03-2024,Please recycle the packaging.,Great Taste Award,gluten,FALSE,FALSE,3,1,05-02-2024,4744,GFSqyLglmpsgNfs,gfsqylglmpsgnfs_5110@example.com,1934050930,"374 YIXKo Blvd. Apt #63, Town 85351",O31
Milk,102,Dairy & Eggs,Sainsbury's,1.53,g,Yes,Brand A,S10021,2,https://example.com/products/S10021.jpg,Milk from local farms,,"{'calories': 331, 'fat': 10.07118639812309, 'protein': 10.335517168836342, 'carbohydrates': 62.63021080050021}",3,UK,TRUE,Buy one get one free,91,click & collect,2,3,TRUE,4.7,52,FALSE,TRUE,seasonal,11-04-2024,Please recycle the packaging.,Best Product of the Year,nuts,FALSE,FALSE,3,1,27-02-2024,7686,OmRpERaMmzqiW,omrperammzqiw_4791@example.com,6662541005,"412 WdhJtZ St. Apt #29, Town 37769",O32
Tea,107,Drinks,M&S,6.47,L,No,Brand C,M10022,8,https://example.com/products/M10022.jpg,Tea from Italy,nut-free,"{'calories': 112, 'fat': 26.000621769597625, 'protein': 5.186714196309787, 'carbohydrates': 20.81792813128347}",1,Netherlands,FALSE,20% off,0,click & collect,5,2,TRUE,4.8,206,TRUE,TRUE,family-friendly,24-03-2024,Please recycle the packaging.,Great Taste Award,nuts,TRUE,TRUE,3,1,01-02-2024,2039,qJLVDHbiWnIPCJB,qjlvdhbiwnipcjb_9663@example.com,9185522469,"539 bNLzvcxLV Ave. Apt #7, City 13355",O33
Shampoo,109,Health & Beauty,Aldi,8.99,ml,No,Brand C,A10023,6,https://example.com/products/A10023.jpg,Shampoo from local farms,nut-free,"{'calories': 230, 'fat': 7.391903545603405, 'protein': 4.8243909846570965, 'carbohydrates': 38.711406058106654}",5,Germany,TRUE,,0,"click & collect,home delivery",3,3,FALSE,4.6,110,FALSE,FALSE,healthy,14-04-2024,Please recycle the packaging.,,dairy,FALSE,FALSE,3,1,20-02-2024,643,MfxEoohUKp,mfxeoohukp_4247@example.com,3981863835,"995 XXJjzfWwTL St. Apt #37, Town 49708",O34
Eggs,102,Dairy & Eggs,Asda,8.05,kg,Yes,Brand A,A10024,3,https://example.com/products/A10024.jpg,Eggs from local farms,,"{'calories': 95, 'fat': 21.838240880847554, 'protein': 13.21276981285304, 'carbohydrates': 51.630919019185086}",2,Spain,TRUE,2 for £6,94,click & collect,4,3,FALSE,3.8,69,FALSE,FALSE,seasonal,13-04-2024,Please recycle the packaging.,Great Taste Award,soy,TRUE,FALSE,3,1,18-02-2024,1951,wYwVgPtVYo,wywvgptvyo_7152@example.com,6112336817,"884 qQExAUR St. Apt #26, City 79171",O35
Eggs,102,Dairy & Eggs,Sainsbury's,1.24,ml,Yes,Supermarket Own Brand,S10025,2,https://example.com/products/S10025.jpg,Eggs from Italy,,"{'calories': 183, 'fat': 10.805144984237629, 'protein': 9.547543996234833, 'carbohydrates': 91.86136572918515}",3,UK,TRUE,2 for £6,85,click & collect,3,2,TRUE,4.7,60,TRUE,TRUE,affordable,12-04-2024,Please recycle the packaging.,,dairy,FALSE,FALSE,3,1,18-02-2024,634,zuSlkqUenayxcKQPbp,zuslkquenayxckqpbp_6972@example.com,5554637747,"144 ErNhiKp Ave. Apt #81, City 76869",O36
Eggs,102,Dairy & Eggs,Asda,6.64,kg,No,Brand B,A10026,3,https://example.com/products/A10026.jpg,Eggs from Ecuador,gluten-free,"{'calories': 110, 'fat': 10.019757760063928, 'protein': 11.85568234025926, 'carbohydrates': 21.91969637132951}",5,China,FALSE,,0,"click & collect,home delivery",4,2,FALSE,3.8,151,TRUE,FALSE,seasonal,30-03-2024,Please recycle the packaging.,Best Product of the Year,dairy,FALSE,FALSE,3,1,08-02-2024,3364,svFFVXjEMIrqz,svffvxjemirqz_4056@example.com,4939923356,"173 WZmetipL St. Apt #49, City 37582",O37
Toilet Paper,108,Household,M&S,5.66,kg,No,Brand A,M10027,8,https://example.com/products/M10027.jpg,Toilet Paper from Ecuador,,"{'calories': 323, 'fat': 20.254856235498618, 'protein': 6.229377101817417, 'carbohydrates': 10.40560234495047}",5,Spain,FALSE,2 for £6,0,"click & collect,home delivery",3,4,TRUE,4.8,865,FALSE,TRUE,affordable,01-04-2024,Please recycle the packaging.,Great Taste Award,gluten,FALSE,TRUE,3,1,04-02-2024,5931,JulKFbAyeossBrrfeu,julkfbayeossbrrfeu_288@example.com,7649794082,"218 NxpDLt Ave. Apt #89, Town 46033",O38
Tomatoes,101,Fruits & Vegetables,M&S,2.4,g,Yes,Supermarket Own Brand,M10028,8,https://example.com/products/M10028.jpg,Tomatoes from Italy,vegan,"{'calories': 324, 'fat': 7.962776464366089, 'protein': 15.360884191063276, 'carbohydrates': 79.44298283259677}",5,Netherlands,TRUE,,43,"click & collect,home delivery",5,5,TRUE,4.8,610,FALSE,TRUE,fresh,08-04-2024,Please recycle the packaging.,Great Taste Award,gluten,FALSE,TRUE,3,1,27-02-2024,5420,AvKqCtPIQaMWgIyQ,avkqctpiqamwgiyq_3151@example.com,7021488608,"802 mGKpB Blvd. Apt #14, Town 26359",O39
Cola,107,Drinks,Tesco,13.49,ml,No,Brand C,T10029,1,https://example.com/products/T10029.jpg,Cola from Ecuador,lactose-free,"{'calories': 365, 'fat': 27.326995764549633, 'protein': 8.755518798928046, 'carbohydrates': 43.58641061839902}",2,Netherlands,FALSE,Buy one get one free,0,click & collect,4,5,TRUE,4.5,443,TRUE,FALSE,fresh,12-04-2024,Please recycle the packaging.,,dairy,FALSE,TRUE,3,1,21-02-2024,4494,sEUWHEaKzBFLnoFkiQ,seuwheakzbflnofkiq_711@example.com,369929629,"434 ZPXnl Blvd. Apt #70, Town 25675",O40
Coffee,107,Drinks,M&S,8.58,kg,Yes,Supermarket Own Brand,M10030,8,https://example.com/products/M10030.jpg,Coffee from Ecuador,,"{'calories': 433, 'fat': 5.738831864133784, 'protein': 18.312710165229745, 'carbohydrates': 47.06051987048853}",3,China,FALSE,20% off,58,"click & collect,home delivery",2,5,TRUE,4.8,808,TRUE,TRUE,fresh,30-03-2024,Please recycle the packaging.,,soy,FALSE,TRUE,3,1,29-02-2024,8863,syvFyulOWYQAyIFl,syvfyulowyqayifl_910@example.com,842387781,"162 AmchheSiLU Blvd. Apt #71, Town 57391",O41
Chicken Breast,103,Meat & Fish,M&S,6.8,g,Yes,Brand B,M10031,8,https://example.com/products/M10031.jpg,Chicken Breast from local farms,vegan,"{'calories': 318, 'fat': 24.045480705949867, 'protein': 3.3664149848913727, 'carbohydrates': 91.10674167433473}",2,China,TRUE,Buy one get one free,87,"click & collect,home delivery",2,1,TRUE,4.8,304,FALSE,FALSE,seasonal,07-04-2024,Please recycle the packaging.,Best Product of the Year,soy,FALSE,FALSE,3,1,06-02-2024,454,neyfIqVEedXXBewKnig,neyfiqveedxxbewknig_8162@example.com,2442629081,"219 rLyrWClGl St. Apt #26, Town 95466",O42
Tea,107,Drinks,Waitrose,6.4,kg,Yes,Brand C,W10032,5,https://example.com/products/W10032.jpg,Tea from California,lactose-free,"{'calories': 329, 'fat': 5.761720537582891, 'protein': 0.6385896917068723, 'carbohydrates': 7.641633804444304}",1,China,FALSE,20% off,46,home delivery,2,3,FALSE,3.9,249,TRUE,TRUE,fresh,05-04-2024,Please recycle the packaging.,,gluten,FALSE,FALSE,3,1,27-02-2024,4405,nozjRrImoGFAxtglH,nozjrrimogfaxtglh_9498@example.com,7561701014,"160 BlLBEv St. Apt #89, Town 30893",O43
Coffee,107,Drinks,Lidl,9.63,L,No,Brand C,L10033,7,https://example.com/products/L10033.jpg,Coffee from Italy,,"{'calories': 340, 'fat': 29.992495779714083, 'protein': 16.556943929552222, 'carbohydrates': 60.68653103640753}",2,Germany,TRUE,2 for £6,0,"click & collect,home delivery",2,2,TRUE,4.3,814,FALSE,FALSE,healthy,15-04-2024,Please recycle the packaging.,Great Taste Award,gluten,TRUE,FALSE,3,1,01-02-2024,5872,iFibgzbtLyZjmQDjax,ifibgzbtlyzjmqdjax_3325@example.com,758594857,"200 PzdWlUgFn Blvd. Apt #90, City 77439",O44
Bread,105,Cereal & Bread,Sainsbury's,11.74,g,Yes,Brand C,S10034,2,https://example.com/products/S10034.jpg,Bread from Spain,lactose-free,"{'calories': 318, 'fat': 1.3112825778141968, 'protein': 13.165349300834691, 'carbohydrates': 3.9156480212185762}",4,Germany,FALSE,,49,"click & collect,home delivery",4,1,TRUE,4.7,227,FALSE,TRUE,family-friendly,11-04-2024,Please recycle the packaging.,Best Product of the Year,nuts,FALSE,TRUE,3,1,18-02-2024,3212,UzmpyLdJaPcPtlJVHY,uzmpyldjapcptljvhy_39@example.com,2114240271,"610 ZoorGx Ave. Apt #76, City 47599",O45
Cucumber,101,Fruits & Vegetables,Asda,2.52,g,Yes,Supermarket Own Brand,A10035,3,https://example.com/products/A10035.jpg,Cucumber from local farms,,"{'calories': 235, 'fat': 28.723087897343937, 'protein': 8.596729216250829, 'carbohydrates': 3.06834947671768}",1,Germany,TRUE,2 for £6,37,home delivery,3,5,FALSE,3.8,241,FALSE,FALSE,fresh,09-04-2024,Please recycle the packaging.,Best Product of the Year,soy,TRUE,FALSE,3,1,10-02-2024,7326,nReAaYlvOgNLEjE,nreaaylvognleje_4040@example.com,7272460386,"558 uhSoywnW St. Apt #35, City 48568",O46
Butter,102,Dairy & Eggs,Asda,4.3,g,No,Supermarket Own Brand,A10036,3,https://example.com/products/A10036.jpg,Butter from Spain,gluten-free,"{'calories': 218, 'fat': 18.641743492764775, 'protein': 5.813471486164287, 'carbohydrates': 52.7739580114521}",4,Italy,TRUE,,0,"click & collect,home delivery",5,5,FALSE,3.8,845,FALSE,FALSE,family-friendly,23-03-2024,Please recycle the packaging.,,nuts,TRUE,FALSE,3,1,14-02-2024,8068,YBWNMSaxQDoSmBqBGYf,ybwnmsaxqdosmbqbgyf_7797@example.com,1653872459,"476 uFlqHfOH St. Apt #8, City 26130",O47
Tomatoes,101,Fruits & Vegetables,Lidl,5.82,ml,Yes,Brand B,L10037,7,https://example.com/products/L10037.jpg,Tomatoes from California,,"{'calories': 489, 'fat': 17.819654601698016, 'protein': 12.521186723120861, 'carbohydrates': 44.76609423214616}",3,Italy,TRUE,2 for £6,12,home delivery,3,4,TRUE,4.3,200,FALSE,TRUE,family-friendly,15-04-2024,Please recycle the packaging.,Great Taste Award,soy,FALSE,FALSE,3,1,19-02-2024,1849,HqRaCVmcMZCDd,hqracvmcmzcdd_3502@example.com,2704635037,"348 OsTqL St. Apt #87, Town 24279",O48
